rospy.time, area
1687110313469895839, 7845.0
1687110314476753711, 47065.0
1687110315485254049, 50228.0
1687110316493903636, 60250.0
1687110317501684904, 65660.0
1687110318509647369, 69173.0
1687110319517780065, 76789.0
1687110320525252819, 85794.0
1687110321534098625, 92888.0
1687110322541349649, 101440.0
1687110323550041913, 109830.0
1687110324557460546, 115812.0
1687110325566186189, 123009.0
1687110326573360204, 130731.0
1687110327582231283, 138010.0
1687110328590020179, 144327.0
1687110329598266363, 151740.0
1687110330605438232, 159375.0
1687110331614569425, 165866.0
1687110332621611118, 173410.0
1687110333629544734, 182482.0
1687110334637495040, 192462.0
1687110335645577192, 200623.0
1687110336653939962, 208663.0
1687110337661476373, 216018.0
1687110338669659852, 221565.0
1687110339678210020, 227978.0
1687110340685687541, 233324.0
1687110341694174289, 239746.0
1687110342702098131, 245056.0
1687110343709454059, 251590.0
1687110344717284917, 259180.0
1687110345726084470, 266347.0
1687110346734093904, 271722.0
1687110347741138458, 277762.0
1687110348751107931, 281939.0
1687110349757353782, 285905.0
1687110350767274141, 290125.0
1687110351772458076, 294345.0
1687110352781512022, 298132.0
1687110353789418458, 301411.0
1687110354797374725, 305523.0
1687110355804910421, 309753.0
1687110356813584089, 313985.0
1687110357821518659, 318553.0
1687110358829955339, 323701.0
1687110359837955236, 329085.0
1687110360845921754, 333980.0
1687110361853336334, 339200.0
1687110362861819744, 343965.0
1687110363869965314, 347525.0
1687110364878056049, 349870.0
1687110365885364532, 351612.0
1687110366893472433, 353116.0
1687110367901772499, 354480.0
1687110368909950017, 355880.0
1687110369917648553, 357280.0
1687110370926248788, 358680.0
1687110371933978080, 360010.0
1687110372942156314, 361423.0
1687110373949647903, 362898.0
1687110374957298278, 363595.0
1687110375964916229, 366440.0
1687110376973512172, 369957.0
1687110377982333898, 373831.0
1687110378990242481, 377752.0
1687110379998197555, 382452.0
1687110381005435466, 388161.0
1687110382013134479, 395289.0
1687110383021853446, 402451.0
1687110384029756307, 410054.0
1687110385037791013, 418293.0
1687110386045537710, 425878.0
1687110387054062604, 433521.0
1687110388061450958, 439486.0
1687110389069382905, 445688.0
1687110390077454566, 451624.0
1687110391085607528, 456490.0
1687110392093697309, 460963.0
1687110393101794004, 465673.0
1687110394109647989, 471952.0
1687110395117820262, 478137.0
1687110396125572681, 482378.0
1687110397133244276, 486313.0
1687110398141352653, 489404.0
1687110399149450540, 489991.0
1687110400157418966, 490000.0
1687110401980379343, 490000.0
