rospy.time, area
1687113218314982414, 7845.0
1687113219318547725, 47065.0
1687113220326695680, 49564.0
1687113221334785461, 59876.0
1687113222342843532, 69826.0
1687113223350562810, 79888.0
1687113224359066724, 90005.0
1687113225366780042, 100503.0
1687113226374961376, 111428.0
1687113227382603883, 121834.0
1687113228390849351, 132773.0
1687113229398797988, 143472.0
1687113230407129764, 154027.0
1687113231415244817, 164911.0
1687113232423307418, 175598.0
1687113233430628299, 186008.0
1687113234439310073, 193874.0
1687113235446692943, 200266.0
1687113236454354524, 205380.0
1687113237462725639, 209101.0
1687113238470845699, 211515.0
1687113239479270458, 213364.0
1687113240486655473, 213364.0
1687113241812956094, 213364.0
