rospy.time, area
1687113299833999156, 7845.0
1687113300842517137, 31380.0
1687113301850912809, 32945.0
1687113302858448743, 40998.0
1687113303865956783, 49176.0
1687113304875392198, 57375.0
1687113305883402585, 65466.0
1687113306890198707, 73610.0
1687113307898273706, 81764.0
1687113308906235933, 89763.0
1687113309914469480, 97439.0
1687113310922886371, 105654.0
1687113311930766582, 113826.0
1687113312938008308, 122033.0
1687113313946526527, 130204.0
1687113314954507589, 138374.0
1687113315962047576, 146399.0
1687113316970170021, 153274.0
1687113317978284358, 159067.0
1687113318986914157, 163742.0
1687113319995518445, 168693.0
1687113321002401590, 173022.0
1687113322010676145, 175908.0
1687113323784921884, 176976.0
