rospy.time, area
1687113259371251106, 15690.0
1687113260379635572, 39225.0
1687113261387150764, 41409.0
1687113262395182609, 51452.0
1687113263403507947, 61325.0
1687113264411618709, 70859.0
1687113265419195413, 80795.0
1687113266427498340, 91070.0
1687113267435342550, 101140.0
1687113268442465782, 110800.0
1687113269450937271, 119779.0
1687113270458775043, 128593.0
1687113271466873645, 137437.0
1687113272475268125, 146168.0
1687113273483477354, 154849.0
1687113274491640329, 163319.0
1687113275498950719, 171539.0
1687113276508136987, 177955.0
1687113277514549970, 183525.0
1687113278523108243, 188279.0
1687113279531514406, 192286.0
1687113280539568662, 193361.0
1687113282297116756, 193751.0
