rospy.time, area
1685820970979537725, 7845.0
1685820971988409042, 39225.0
1685820972995552301, 41663.0
1685820974002969503, 51597.0
1685820975011209249, 58875.0
1685820976019153833, 64611.0
1685820977028201103, 71840.0
1685820978036690235, 78844.0
1685820979043815374, 84273.0
1685820980052083253, 91667.0
1685820981059518098, 99452.0
1685820982067677497, 106544.0
1685820983075975894, 112662.0
1685820984083863019, 119204.0
1685820985091811418, 126013.0
1685820986099421739, 131913.0
1685820987108594179, 139227.0
1685820988116097450, 146764.0
1685820989123911619, 153984.0
1685820990131808280, 161822.0
1685820991139615058, 171141.0
1685820992148847341, 180905.0
1685820993156362533, 188359.0
1685820994164654731, 196210.0
1685820995172353506, 203260.0
1685820996179767131, 209138.0
1685820997187984228, 214855.0
1685820998195543050, 221172.0
1685820999204511165, 227801.0
1685821000212113142, 233853.0
1685821001220021486, 242179.0
1685821002227737903, 250045.0
1685821003235259056, 255538.0
1685821004243788242, 260931.0
1685821005251757860, 266744.0
1685821006260277271, 271794.0
1685821007267680168, 276611.0
1685821008276308536, 282310.0
1685821009284040212, 287823.0
1685821010291733503, 292979.0
1685821011299959897, 298214.0
1685821012308059930, 304436.0
1685821013316119194, 309778.0
1685821014324280261, 314318.0
1685821015332152128, 318201.0
1685821016339695930, 321951.0
1685821017348417520, 324191.0
1685821018356937408, 326424.0
1685821019364118576, 329688.0
1685821020371747255, 333071.0
1685821021380198478, 335997.0
1685821022388443470, 340442.0
1685821023395397424, 345503.0
1685821024403654336, 351236.0
1685821025411976814, 355391.0
1685821026420461416, 360543.0
1685821027428277492, 365537.0
1685821028436322927, 368773.0
1685821029443904876, 373202.0
1685821030452063322, 379413.0
1685821031460567235, 385780.0
1685821032467911481, 390326.0
1685821033475685119, 396543.0
1685821034484282970, 402699.0
1685821035491646766, 407454.0
1685821036499751329, 411075.0
1685821037508140802, 415043.0
1685821038515895128, 419124.0
1685821039523957014, 423388.0
1685821040532016038, 428756.0
1685821041540069818, 434353.0
1685821042548202753, 440061.0
1685821043556035041, 445101.0
1685821044563305139, 450998.0
1685821045571959495, 457142.0
1685821046580380439, 462939.0
1685821047588101625, 468748.0
1685821048595435857, 474025.0
1685821049604223966, 478566.0
1685821050611933946, 482030.0
1685821051619493007, 485881.0
1685821052628319740, 489255.0
1685821053636019229, 490000.0
1685821054644195079, 490000.0
1685821056514207124, 490000.0
