rospy.time, area
1701537395878424882, 7845.0
1701537396885591030, 23535.0
1701537397893648147, 24766.0
1701537398902218341, 30780.0
1701537399909327507, 36048.0
1701537400918101310, 40588.0
1701537401925885915, 45640.0
1701537402934463977, 51458.0
1701537403941621541, 55772.0
1701537404949554204, 61233.0
1701537405957553148, 67324.0
1701537406965918779, 71824.0
1701537407974307775, 76054.0
1701537408981716394, 80848.0
1701537409990150928, 85204.0
1701537410997725009, 88802.0
1701537412005728006, 93206.0
1701537413013601541, 97843.0
1701537414021677017, 102436.0
1701537415030138731, 107640.0
1701537416038039922, 113335.0
1701537417044979095, 119075.0
1701537418054280519, 123604.0
1701537419062302112, 127751.0
1701537420070188522, 131646.0
1701537421078559398, 133266.0
1701537422085944175, 135920.0
1701537423093601703, 139397.0
1701537424102224349, 143112.0
1701537425109172105, 146144.0
1701537426117772817, 150195.0
1701537427125999927, 154058.0
1701537428134479284, 156112.0
1701537429142571687, 158295.0
1701537430150318861, 161269.0
1701537431157251596, 165016.0
1701537432165686368, 169311.0
1701537433174352884, 173073.0
1701537434182079792, 177446.0
1701537435190057039, 182296.0
1701537436198185920, 186956.0
1701537437205533742, 191447.0
1701537438214089870, 196297.0
1701537439221226692, 200361.0
1701537440229754447, 203217.0
1701537441237444400, 206836.0
1701537442245819091, 211209.0
1701537443254272222, 214953.0
1701537444261858224, 218040.0
1701537445270117998, 222030.0
1701537446278026342, 226164.0
1701537447286292791, 230221.0
1701537448293507099, 233984.0
1701537449301578044, 238103.0
1701537450310074090, 242388.0
1701537451317837476, 246015.0
1701537452326552629, 250277.0
1701537453333225727, 253779.0
1701537454341966629, 256442.0
1701537455349806308, 259642.0
1701537456358747243, 263931.0
1701537457365603685, 268471.0
1701537458374289989, 272554.0
1701537459381811618, 276872.0
1701537460389436483, 281441.0
1701537461398087263, 285952.0
1701537462406291961, 290145.0
1701537463413582563, 294836.0
1701537464421717166, 299392.0
1701537465429749488, 302985.0
1701537466438332080, 307348.0
1701537467445900201, 312168.0
1701537468453887701, 315787.0
1701537469461471080, 318623.0
1701537470469866037, 322892.0
1701537471478095293, 327434.0
1701537472485660314, 330941.0
1701537473493410110, 333871.0
1701537474501464366, 337041.0
1701537475509336471, 339972.0
1701537476518081188, 343071.0
1701537477525844812, 346789.0
1701537478533745050, 350508.0
1701537479542187452, 352744.0
1701537480549527406, 355836.0
1701537481558209896, 360381.0
1701537482565584897, 365176.0
1701537483574661016, 368517.0
1701537484581289052, 371544.0
1701537485590111970, 373646.0
1701537486597942113, 375082.0
1701537487606352806, 377433.0
1701537488613853931, 379991.0
1701537489622114658, 381733.0
1701537490630290985, 383911.0
1701537491637769460, 386433.0
1701537492645909070, 389034.0
1701537493654381036, 390829.0
1701537494662185907, 392375.0
1701537495670059442, 394159.0
1701537496677361965, 395963.0
1701537497686131000, 398176.0
1701537498693915367, 401366.0
1701537499701895236, 404948.0
1701537500709595203, 408397.0
1701537501718102216, 411211.0
1701537502726041793, 413964.0
1701537503734154224, 416826.0
1701537504742002964, 419767.0
1701537505749776124, 423125.0
1701537506758010387, 426379.0
1701537507765443086, 429127.0
1701537508773871898, 431487.0
1701537509782394409, 433590.0
1701537510789854049, 434957.0
1701537511798061132, 436535.0
1701537512805401325, 438216.0
1701537513814040899, 439746.0
1701537514821881771, 441840.0
1701537515829758882, 444519.0
1701537516837456226, 447600.0
1701537517846134185, 450508.0
1701537518853502511, 453709.0
1701537519862063884, 457746.0
1701537520870191097, 462050.0
1701537521878132820, 464309.0
1701537522885949850, 466787.0
1701537523893076181, 469855.0
1701537524901337623, 472827.0
1701537525909613370, 475020.0
1701537526918286561, 477621.0
1701537527925861358, 480601.0
1701537528933288097, 482442.0
1701537529941837310, 483959.0
1701537530950480937, 485689.0
1701537531957697391, 486641.0
1701537532966086864, 487470.0
1701537533973876237, 488559.0
1701537534982002258, 489783.0
1701537535989825248, 490000.0
1701537537955780982, 490000.0
