rospy.time, area
1685827924043260097, 7845.0
1685827925049366712, 23535.0
1685827926057852268, 25109.0
1685827927065644741, 31123.0
1685827928073530435, 34915.0
1685827929081817626, 35777.0
1685827930089844226, 39941.0
1685827931097606182, 45411.0
1685827932105318546, 50062.0
1685827933114302158, 55625.0
1685827934121997356, 61476.0
1685827935129716396, 65413.0
1685827936137551784, 68880.0
1685827937145315885, 72695.0
1685827938153174877, 76720.0
1685827939162155151, 80703.0
1685827940170054197, 85263.0
1685827941178171634, 89684.0
1685827942186374187, 93153.0
1685827943193902254, 97687.0
1685827944201892852, 102733.0
1685827945209599494, 108083.0
1685827946217378139, 112495.0
1685827947225542545, 117156.0
1685827948234094142, 121158.0
1685827949241412162, 123608.0
1685827950249847650, 127260.0
1685827951257623434, 132051.0
1685827952265338659, 137227.0
1685827953273365020, 141656.0
1685827954281911849, 146068.0
1685827955289854288, 150608.0
1685827956297993183, 154187.0
1685827957305990457, 158217.0
1685827958313729286, 163125.0
1685827959321382284, 167972.0
1685827960330214738, 171360.0
1685827961337671279, 174993.0
1685827962345922470, 178807.0
1685827963353870391, 180088.0
1685827964361357927, 181376.0
1685827965369908809, 182998.0
1685827966377455949, 184795.0
1685827967385767459, 186343.0
1685827968393483877, 188496.0
1685827969401309967, 191082.0
1685827970409813404, 193582.0
1685827971417569875, 195972.0
1685827972425795555, 199517.0
1685827973433511972, 203269.0
1685827974441227674, 207108.0
1685827975449800729, 210774.0
1685827976457643270, 215158.0
1685827977465584039, 219750.0
1685827978473641157, 224047.0
1685827979482116937, 228216.0
1685827980489927768, 232643.0
1685827981498026132, 236398.0
1685827982505861997, 239654.0
1685827983513633012, 243824.0
1685827984521653652, 248057.0
1685827985529595851, 251236.0
1685827986537262439, 255006.0
1685827987546179056, 259622.0
1685827988553565502, 264415.0
1685827989561355352, 267701.0
1685827990568977594, 271507.0
1685827991577922344, 275428.0
1685827992586047887, 278893.0
1685827993594140052, 280991.0
1685827994601915359, 283555.0
1685827995610055923, 286152.0
1685827996617902994, 288645.0
1685827997625340938, 291595.0
1685827998634464025, 294665.0
1685827999641375303, 297866.0
1685828000649217128, 300191.0
1685828001658142566, 302755.0
1685828002665705680, 305250.0
1685828003673742532, 307482.0
1685828004681692361, 309962.0
1685828005690270662, 312571.0
1685828006698544025, 315343.0
1685828007706556081, 318160.0
1685828008714930772, 321719.0
1685828009722431421, 325400.0
1685828010729820251, 328918.0
1685828011737904071, 331154.0
1685828012746076822, 333178.0
1685828013753935813, 334882.0
1685828014762144565, 336601.0
1685828015769539594, 339384.0
1685828016778569698, 343267.0
1685828017786340951, 347218.0
1685828018794476270, 351456.0
1685828019802570581, 355749.0
1685828020810132980, 359935.0
1685828021818212747, 363852.0
1685828022825484752, 368315.0
1685828023833279371, 373156.0
1685828024841890811, 378048.0
1685828025850619554, 382218.0
1685828026857874631, 386869.0
1685828027866140842, 391778.0
1685828028873784780, 396839.0
1685828029882726192, 402032.0
1685828030889449357, 406936.0
1685828031898366689, 411212.0
1685828032906747817, 415393.0
1685828033914376258, 420643.0
1685828034921232461, 426189.0
1685828035929777622, 430413.0
1685828036938017606, 434408.0
1685828037946192741, 437817.0
1685828038954428672, 441885.0
1685828039961797952, 445895.0
1685828040970497608, 449819.0
1685828041978317737, 453202.0
1685828042986406326, 456536.0
1685828043995314121, 459594.0
1685828045001731872, 462794.0
1685828046010751485, 466136.0
1685828047017622470, 468858.0
1685828048025631666, 471432.0
1685828049033993721, 473881.0
1685828050041783809, 475845.0
1685828051049223899, 475886.0
1685828052058189153, 475901.0
1685828053065608263, 476415.0
1685828054074777841, 477288.0
1685828055082670450, 478272.0
1685828056090148210, 478531.0
1685828057098510742, 478531.0
1685828058106262683, 478531.0
1685828059113938331, 478531.0
1685828060122773170, 478531.0
1685828061130624532, 478531.0
1685828062137974500, 478531.0
1685828063146944999, 478531.0
1685828064153793096, 478531.0
1685828065162002325, 479119.0
1685828066170020580, 479899.0
1685828067177772521, 480718.0
1685828068185203313, 481419.0
1685828069194232940, 482144.0
1685828070201923370, 482826.0
1685828071210050106, 482893.0
1685828072217144727, 482893.0
1685828073225825548, 482893.0
1685828074233907461, 482893.0
1685828075241734981, 483252.0
1685828076250118494, 484346.0
1685828077257960557, 485438.0
1685828078266140460, 486545.0
1685828079274235725, 487535.0
1685828080282106876, 488647.0
1685828081290165185, 489819.0
1685828082297348260, 490000.0
1685828084152493715, 490000.0
