rospy.time, area
1685835836317961692, 7845.0
1685835837326283216, 47065.0
1685835838335176467, 49472.0
1685835839343269348, 59581.0
1685835840350476264, 65608.0
1685835841359557151, 68842.0
1685835842367288112, 76403.0
1685835843374578475, 85506.0
1685835844382697582, 92574.0
1685835845390280723, 101130.0
1685835846397855758, 109567.0
1685835847406453847, 115714.0
1685835848414603233, 122895.0
1685835849422295093, 130589.0
1685835850430531501, 137686.0
1685835851438761472, 144096.0
1685835852446439504, 151526.0
1685835853455152273, 159153.0
1685835854462629795, 165860.0
1685835855471226453, 173138.0
1685835856479270696, 182259.0
1685835857486812829, 192273.0
1685835858494150638, 200368.0
1685835859503212690, 209170.0
1685835860510507345, 218276.0
1685835861518641710, 226370.0
1685835862527218341, 234366.0
1685835863534367322, 242190.0
1685835864542510509, 249448.0
1685835865550273180, 254973.0
1685835866558780193, 261575.0
1685835867566278457, 268872.0
1685835868574295520, 274309.0
1685835869582851886, 279004.0
1685835870589879035, 284546.0
1685835871598053216, 289178.0
1685835872606035470, 292121.0
1685835873614958047, 294819.0
1685835874621471643, 297565.0
1685835875629631519, 300865.0
1685835876638194084, 305084.0
1685835877646830797, 309286.0
1685835878654461383, 313732.0
1685835879662642717, 317965.0
1685835880670240163, 322647.0
1685835881677841663, 327516.0
1685835882687584877, 331200.0
1685835883693945407, 334284.0
1685835884702505111, 338074.0
1685835885710144996, 342333.0
1685835886718222618, 346687.0
1685835887726402759, 350223.0
1685835888735528469, 352980.0
1685835889742489814, 354928.0
1685835890751251220, 357051.0
1685835891758516311, 359315.0
1685835892767505645, 363018.0
1685835893774103403, 367453.0
1685835894781706571, 370954.0
1685835895790474891, 372946.0
1685835896799548625, 374341.0
1685835897806604146, 377219.0
1685835898813917875, 382066.0
1685835899821644306, 387752.0
1685835900830879211, 394456.0
1685835901838893651, 400628.0
1685835902846566438, 407230.0
1685835903854977607, 414339.0
1685835904862591028, 421285.0
1685835905870620489, 428658.0
1685835906878078222, 436027.0
1685835907886575937, 444226.0
1685835908893866062, 451996.0
1685835909902409791, 459517.0
1685835910911134481, 466751.0
1685835911918203592, 472230.0
1685835912926949024, 477176.0
1685835913934875726, 481503.0
1685835914942903518, 484338.0
1685835915951324701, 487251.0
1685835916959825992, 489032.0
1685835917966266870, 489984.0
1685835918975268840, 490000.0
1685835920876520633, 490000.0
