rospy.time, area
1685835623682170629, 15690.0
1685835624689956426, 39225.0
1685835625698770761, 41496.0
1685835626706182241, 51369.0
1685835627713683605, 58411.0
1685835628721741914, 63553.0
1685835629730720996, 69618.0
1685835630738276243, 75309.0
1685835631746634244, 80573.0
1685835632753542661, 88238.0
1685835633762273550, 96461.0
1685835634769709110, 103555.0
1685835635778170585, 110209.0
1685835636785564422, 117488.0
1685835637794157743, 124574.0
1685835638801687717, 131300.0
1685835639810456752, 139514.0
1685835640817419767, 148197.0
1685835641825969934, 156571.0
1685835642834383249, 164273.0
1685835643842533588, 173355.0
1685835644849521636, 182647.0
1685835645857714891, 189775.0
1685835646866213798, 197639.0
1685835647874290704, 205484.0
1685835648882181167, 211245.0
1685835649889953613, 216186.0
1685835650898438453, 222532.0
1685835651906546115, 228434.0
1685835652913794755, 233656.0
1685835653922175407, 240185.0
1685835654930232286, 246711.0
1685835655937693119, 252349.0
1685835656946182966, 257692.0
1685835657954075574, 264873.0
1685835658962222099, 271366.0
1685835659970201492, 275353.0
1685835660978034257, 279559.0
1685835661986208438, 284364.0
1685835662994719266, 288746.0
1685835664002226352, 292044.0
1685835665010251283, 295557.0
1685835666017770528, 299199.0
1685835667026989936, 302506.0
1685835668034543991, 305775.0
1685835669042065382, 309726.0
1685835670050265789, 314137.0
1685835671058351755, 317801.0
1685835672066481828, 321665.0
1685835673074092149, 326202.0
1685835674082174062, 330568.0
1685835675089890241, 335180.0
1685835676098510742, 340310.0
1685835677107031583, 345876.0
1685835678114091157, 351225.0
1685835679122106790, 356146.0
1685835680130170822, 361962.0
1685835681138387918, 367583.0
1685835682145962715, 372837.0
1685835683153432130, 378974.0
1685835684161873102, 386204.0
1685835685170199871, 392065.0
1685835686177972316, 396457.0
1685835687186337471, 402643.0
1685835688194911718, 408561.0
1685835689202885627, 413342.0
1685835690210973501, 417043.0
1685835691218039274, 421701.0
1685835692226129770, 426758.0
1685835693234281301, 430191.0
1685835694242448329, 435051.0
1685835695250880479, 440652.0
1685835696258039712, 446020.0
1685835697266351699, 451835.0
1685835698274963140, 457604.0
1685835699281892776, 461368.0
1685835700291206359, 464787.0
1685835701298027992, 468151.0
1685835702306024551, 472143.0
1685835703313455820, 476677.0
1685835704322794914, 480589.0
1685835705330567836, 483238.0
1685835706337686300, 484943.0
1685835707345803737, 486408.0
1685835708354019880, 487949.0
1685835709362432003, 489270.0
1685835710370554447, 489997.0
1685835711377730131, 490000.0
1685835713153650760, 490000.0
