rospy.time, area
1701536921522929668, 7845.0
1701536922530312538, 31380.0
1701536923537509918, 33213.0
1701536924546128273, 41250.0
1701536925554177999, 49287.0
1701536926562527418, 53587.0
1701536927570311784, 58198.0
1701536928578169345, 63798.0
1701536929585561275, 68875.0
1701536930593641519, 74497.0
1701536931601728200, 80105.0
1701536932609222173, 84837.0
1701536933617365360, 87675.0
1701536934625659227, 91189.0
1701536935634064197, 95758.0
1701536936642071962, 100825.0
1701536937650144577, 106812.0
1701536938657615661, 113685.0
1701536939665372610, 121026.0
1701536940674278497, 126732.0
1701536941681911230, 132731.0
1701536942689321756, 138034.0
1701536943698110818, 141574.0
1701536944706392288, 146787.0
1701536945714108228, 153134.0
1701536946722470998, 159715.0
1701536947730488777, 165331.0
1701536948737525939, 171014.0
1701536949745942354, 176496.0
1701536950754333496, 181334.0
1701536951762243986, 186474.0
1701536952770399808, 193016.0
1701536953778316020, 199779.0
1701536954785684585, 203242.0
1701536955794510841, 207720.0
1701536956802098512, 212262.0
1701536957809977054, 215607.0
1701536958817881107, 217168.0
1701536959825980901, 218974.0
1701536960834232330, 220694.0
1701536961841781139, 222181.0
1701536962850048780, 224083.0
1701536963858346700, 227177.0
1701536964866086006, 230379.0
1701536965873551130, 232561.0
1701536966882132768, 235319.0
1701536967889930963, 238588.0
1701536968897743463, 241920.0
1701536969905938863, 245092.0
1701536970914200544, 248596.0
1701536971921815156, 251820.0
1701536972930236577, 253992.0
1701536973938144922, 256134.0
1701536974946503877, 258453.0
1701536975954391241, 261571.0
1701536976961827993, 265909.0
1701536977969907283, 271138.0
1701536978978581666, 275891.0
1701536979985832452, 280486.0
1701536980994205713, 284802.0
1701536982002098798, 288700.0
1701536983010440349, 292407.0
1701536984018260240, 296417.0
1701536985025654315, 300930.0
1701536986033725261, 304641.0
1701536987041631221, 308464.0
1701536988050270795, 312891.0
1701536989058325767, 317304.0
1701536990066099643, 321318.0
1701536991073774099, 324723.0
1701536992081713199, 327967.0
1701536993090272426, 331487.0
1701536994097772598, 336306.0
1701536995105820894, 341930.0
1701536996113744020, 347831.0
1701536997121669769, 353253.0
1701536998130082607, 359556.0
1701536999137760162, 366236.0
1701537000146166086, 372016.0
1701537001154006481, 377077.0
1701537002161882638, 381806.0
1701537003170016527, 385909.0
1701537004178142309, 390396.0
1701537005186172008, 395673.0
1701537006193910360, 401177.0
1701537007201943874, 405607.0
1701537008209691762, 411296.0
1701537009217762231, 417732.0
1701537010225455522, 424021.0
1701537011233814477, 429001.0
1701537012242065191, 434550.0
1701537013249975442, 439389.0
1701537014257665872, 444176.0
1701537015265984058, 449506.0
1701537016274254560, 455197.0
1701537017282182931, 458709.0
1701537018290143728, 461873.0
1701537019297738552, 465570.0
1701537020306234359, 469751.0
1701537021314332962, 473483.0
1701537022322540521, 477044.0
1701537023330088615, 479792.0
1701537024337766647, 482019.0
1701537025345458984, 483735.0
1701537026354261159, 485359.0
1701537027361837625, 487030.0
1701537028370077371, 487750.0
1701537029377792835, 488916.0
1701537030385561943, 489840.0
1701537031393701314, 489998.0
1701537032401993036, 489999.0
1701537033410351753, 489999.0
1701537034417747735, 489999.0
1701537035426401376, 489999.0
1701537036434178590, 489999.0
1701537037441892862, 489999.0
1701537039088055133, 489999.0
